schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,1,1-(Naphthalen-2-yl)-2-(pyrrolidin-1-yl)pentan-1-one,1-(Naphthalen-2-yl)-2-(pyrrolidin-1-yl)pentan-1-one (also known as naphyrone or naphthylpyrovalerone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2,2-(Pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one,2-(Pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one (also known as α‑Pyrrolidinopentiothiophenone or α-PVT),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,"2-Amino-1-(4-bromo-2,5-dimethoxyphenyl)ethan-1-one","2-Amino-1-(4-bromo-2,5-dimethoxyphenyl)ethan-1-one (also known as bk-2C-B) and its bromo and dimethoxy positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1AA,"N-(1-Amino-3,3-dimethyl-1-oxobutan-2-yl)-1H-indazole-3-carboxamide","N-(1-Amino-3,3-dimethyl-1-oxobutan-2-yl)-1H-indazole-3-carboxamide (also known as ADB-INACA or ADMB-INACA) and its N‑(1‑amino‑1‑oxohexan‑2‑yl) isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1A,"N-(1-Amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1H-indazole-3-carboxamide","N-(1-Amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1H-indazole-3-carboxamide (also known as ADB-5-Bromo-INACA) and its N-(1-amino-1-oxohexan-2-yl) isomers and their respective bromo positional isomers in the 6-membered ring of the indazole structure",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2,4-(2-Aminopropyl)benzofuran,4-(2-Aminopropyl)benzofuran (also known as 4-APB),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,3,5-(2-Aminopropyl)benzofuran,5-(2-Aminopropyl)benzofuran (also known as 5-APB),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,4,6-(2-Aminopropyl)benzofuran,6-(2-Aminopropyl)benzofuran (also known as 6-APB or BenzoFury),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,5,7-(2-Aminopropyl)benzofuran,7-(2-Aminopropyl)benzofuran (also known as 7-APB),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,6,"4-(2-Aminopropyl)-2,3-dihydrobenzofuran","4-(2-Aminopropyl)-2,3-dihydrobenzofuran (also known as 4-APDB)",no FDA UNII record for any name in the entry
