page_a,page_b,width,jaccard,indexable_a,indexable_b
pseudomonas-calcis,rupturewort,390,0.9647,false,false
pseudomonas-calcis,siler,390,0.9647,false,false
pseudomonas-calcis,testes,390,0.9647,false,false
pseudostellaria,rehmannia-elata,390,0.9647,false,false
pseudostellaria,short-buchu,390,0.9647,false,false
pseudostellaria,sichuan-lovage,390,0.9647,false,false
pseudostellaria,taxillus-chinensis,390,0.9647,false,false
pseudostellaria,thymus-satureioides,390,0.9647,false,false
pseudostellaria,tiger-nut,390,0.9647,false,false
pseudostellaria,valine-pyroglutamate,390,0.9647,false,false
pseudostellaria,white-willow,390,0.9647,false,false
pseudostellaria,wild-bergamot,390,0.9647,false,false
rehmannia-elata,rupturewort,390,0.9647,false,false
rehmannia-elata,siler,390,0.9647,false,false
rehmannia-elata,testes,390,0.9647,false,false
rupturewort,short-buchu,390,0.9647,false,false
rupturewort,sichuan-lovage,390,0.9647,false,false
rupturewort,taxillus-chinensis,390,0.9647,false,false
rupturewort,thymus-satureioides,390,0.9647,false,false
rupturewort,tiger-nut,390,0.9647,false,false
rupturewort,valine-pyroglutamate,390,0.9647,false,false
rupturewort,white-willow,390,0.9647,false,false
rupturewort,wild-bergamot,390,0.9647,false,false
short-buchu,siler,390,0.9647,false,false
short-buchu,testes,390,0.9647,false,false
sichuan-lovage,siler,390,0.9647,false,false
sichuan-lovage,testes,390,0.9647,false,false
siler,taxillus-chinensis,390,0.9647,false,false
siler,thymus-satureioides,390,0.9647,false,false
siler,tiger-nut,390,0.9647,false,false
siler,valine-pyroglutamate,390,0.9647,false,false
siler,white-willow,390,0.9647,false,false
siler,wild-bergamot,390,0.9647,false,false
taxillus-chinensis,testes,390,0.9647,false,false
testes,thymus-satureioides,390,0.9647,false,false
testes,tiger-nut,390,0.9647,false,false
testes,valine-pyroglutamate,390,0.9647,false,false
testes,white-willow,390,0.9647,false,false
testes,wild-bergamot,390,0.9647,false,false
adrenals,caffeic-acid-analog,390,0.9535,false,false
adrenals,dense-fruit-dittany,390,0.9535,false,false
african-snakeroot,agaricus-mushroom,390,0.9535,false,false
african-snakeroot,boerhavia-diffusa,390,0.9535,false,false
african-snakeroot,broom-corn,390,0.9535,false,false
african-snakeroot,green-onion,390,0.9535,false,false
african-snakeroot,jujube-seeds,390,0.9535,false,false
african-snakeroot,kuding-tea,390,0.9535,false,false
african-snakeroot,lactococcus-casei,390,0.9535,false,false
african-snakeroot,lactococcus-rhamnosus,390,0.9535,false,false
african-snakeroot,massularia-acuminata,390,0.9535,false,false
african-snakeroot,oxytropis-falcate,390,0.9535,false,false
african-snakeroot,pacific-yew,390,0.9535,false,false
african-snakeroot,palm-wax,390,0.9535,false,false
african-snakeroot,pseudomonas-calcis,390,0.9535,false,false
african-snakeroot,rehmannia-elata,390,0.9535,false,false
african-snakeroot,short-buchu,390,0.9535,false,false
african-snakeroot,sichuan-lovage,390,0.9535,false,false
african-snakeroot,taxillus-chinensis,390,0.9535,false,false
african-snakeroot,thymus-satureioides,390,0.9535,false,false
african-snakeroot,tiger-nut,390,0.9535,false,false
african-snakeroot,valine-pyroglutamate,390,0.9535,false,false
african-snakeroot,white-willow,390,0.9535,false,false
african-snakeroot,wild-bergamot,390,0.9535,false,false
agaricus-mushroom,boerhavia-diffusa,390,0.9535,false,false
agaricus-mushroom,broom-corn,390,0.9535,false,false
agaricus-mushroom,green-onion,390,0.9535,false,false
agaricus-mushroom,jujube-seeds,390,0.9535,false,false
agaricus-mushroom,kuding-tea,390,0.9535,false,false
agaricus-mushroom,lactococcus-casei,390,0.9535,false,false
agaricus-mushroom,lactococcus-rhamnosus,390,0.9535,false,false
agaricus-mushroom,massularia-acuminata,390,0.9535,false,false
agaricus-mushroom,oxytropis-falcate,390,0.9535,false,false
agaricus-mushroom,pacific-yew,390,0.9535,false,false
agaricus-mushroom,palm-wax,390,0.9535,false,false
agaricus-mushroom,pseudomonas-calcis,390,0.9535,false,false
agaricus-mushroom,rehmannia-elata,390,0.9535,false,false
agaricus-mushroom,short-buchu,390,0.9535,false,false
agaricus-mushroom,sichuan-lovage,390,0.9535,false,false
agaricus-mushroom,taxillus-chinensis,390,0.9535,false,false
agaricus-mushroom,thymus-satureioides,390,0.9535,false,false
agaricus-mushroom,tiger-nut,390,0.9535,false,false
agaricus-mushroom,valine-pyroglutamate,390,0.9535,false,false
agaricus-mushroom,white-willow,390,0.9535,false,false
agaricus-mushroom,wild-bergamot,390,0.9535,false,false
andrographis,caffeic-acid-analog,390,0.9535,false,false
andrographis,dense-fruit-dittany,390,0.9535,false,false
boerhavia-diffusa,broom-corn,390,0.9535,false,false
boerhavia-diffusa,green-onion,390,0.9535,false,false
boerhavia-diffusa,jujube-seeds,390,0.9535,false,false
